course,crn,instructor,days,start_time,end_time
BIOS 523,23474,"Dunham, Amy","Tue,Thu",13:00,14:15
BIOS 524,22293,"de Moraes, Marcos","Tue,Thu",10:50,12:05
BIOS 528,22096,"Flynn, Jonathan Lefeldt, Nele",Fri,13:00,13:50
BIOS 534,21857,"Egan, Scott","Mon,Wed,Fri",10:00,10:50
BIOS 540,21860,"Beason-Abmayr, Beth","Tue,Thu",09:25,10:40
BIOS 543,21905,"Wagner, Daniel","Tue,Thu",13:00,14:15
BIOS 547,21907,"Wagner, Daniel Matthews, Kirstin","Tue,Thu",10:50,12:05
BIOS 550,22733,"Tao, Yizhi","Tue,Thu",16:00,17:15
BIOS 558,23317,"Tohme, Alberto","Mon,Wed",18:00,19:30
BIOS 559,21916,"Abraham, David",Tue,17:30,20:15
BIOS 560,22295,"Uribe, Rosa","Tue,Thu",14:30,15:45
BIOS 562,22297,"Egan, Scott",Wed,15:00,15:50
BIOS 568,23154,"Rudolf, Volker",Mon,14:00,14:50
BIOS 571,24085,"Hartley, Maria Siemann, Evan",Thu,17:30,20:15
BIOS 574,24444,"Kranz, Sven","Tue,Thu",09:25,10:40
BIOS 582,21917,"Nikonowicz, Edward Cates, Susan",Mon,14:00,15:15
BIOS 585,24446,"Iyer, Harini","Tue,Thu",09:25,10:40
BIOS 586,21918,"Kranz, Sven",Mon,12:00,12:45
BIOS 588,21919,"Bartel, Bonnie McNew, James Kirienko, Natasha Uribe, Rosa Lavery, Laura Loveless, Theresa Iyer, Harini","Wed,Fri",13:30,15:30
BIOS 589,23151,"Kranz, Sven",Thu,12:00,12:50
BIOS 592,21921,"Kavraki, Lydia",Fri,16:00,17:15
BIOS 593,21922,"Bartel, Bonnie Braam, Janet",Tue,11:00,12:00
BIOS 670,23145,"Matthews, Kirstin Johnson, Alicia","Tue,Thu",14:30,15:45
ECON 100,22012,"DeNicco, James","Tue,Thu",10:50,12:05
ECON 100,22305,"DeNicco, James","Tue,Thu",13:00,14:15
ECON 100,22306,"DeNicco, James","Mon,Wed",14:00,15:15
ECON 100,22307,"DeNicco, James","Mon,Wed",16:00,17:15
ECON 102,25787,"Ryan, James",Wed,16:00,16:50
ECON 200,22013,"Brown, Jim","Tue,Thu",10:50,12:05
ECON 200,22013,"Brown, Jim",Wed,13:00,13:50
ECON 200,22308,"Brown, Jim","Tue,Thu",13:00,14:15
ECON 200,22308,"Brown, Jim",Wed,13:00,13:50
ECON 203,22014,"Carlton, Amelie","Mon,Wed,Fri",10:00,10:50
ECON 203,22309,"Carlton, Amelie","Mon,Wed,Fri",14:00,14:50
